,streaming,clio,wc_holdings,discard,title,bib_id,oclc_num,format,author,holdings_sup,bib_sup,tag_965,lp,historic_circs,comments,reserve_past_few,location,clio_y_n,num_libs
3375,,,,,"Joan Sutherland [sound recording] : Verdi, Bellini, Donizetti. ",2169938,20408585,MUSICAL SOUND RECORDING,"Sutherland, Joan, 1926-2010. ",Y,Y,,,,,,bsr,n,62
3376,,,,,Joel Berglund (1903-1985) [sound recording]. ,7162025,507926682,MUSICAL SOUND RECORDING,"Berglund, Joel, 1903-1985. ",Y,Y,,,,,,bsr,y,4
3377,,,,,Johann Strauss and family in London [sound recording] ,2097688,24305631,MUSICAL SOUND RECORDING,,Y,Y,,,,,,bsr,n,
3378,,,,,"Johanna Gadski, soprano 1871-1932 [sound recording] ",2190403,32581492,MUSICAL SOUND RECORDING,"Gadski, Johanna, 1872-1932. ",Y,N,,,,,,bsr,y,17
3379,,,,,Johannes Brahms-Liederabend [sound recording]. ,2966779,3108131,MUSICAL SOUND RECORDING,"Brahms, Johannes, 1833-1897. ",Y,Y,,,,,,bsr,n,127
3380,,,,,John Crowe Ransom reads his works [sound recording] ,3370039,5193857,NONMUSICAL SOUND RECORDING,"Ransom, John Crowe, 1888-1974. ",Y,Y,,,,,,bsr,n,61
3381,,,,,"John Field suite [sound recording] ; The Londonderry air ; Suite from Handel's ""Water music"" ; In Ireland / Sir Hamilton Harty. ",2006333,31294852,MUSICAL SOUND RECORDING,"Field, John, 1782-1837. ",Y,N,,,,,,bsr,y,19
3382,,,,,John Fitzgerald Kennedy [sound recording] : as we remember him / Edited and produced under the direction of Goddard Lieberson. ,3394610,10356404,MUSICAL SOUND RECORDING,"Burns, Joan Simpson, ",Y,Y,,,,,,bsr,n,13
3383,,,,,John Hollander reads from his own works [sound recording] ,3370068,51256920,NONMUSICAL SOUND RECORDING,"Hollander, John. ",Y,Y,,,,,,bsr,n,1
3384,,,,,John O'Sullivan [sound recording]. ,5597113,47251516,MUSICAL SOUND RECORDING,"O'Sullivan, John, 1877-1955. ",Y,Y,,,,,,bsr,n,8
3385,,,,,John Williams plays two guitar concertos [sound recording]. ,1478436,9752699,MUSICAL SOUND RECORDING,"Williams, John, 1941- ",Y,N,,,,,,bsr,y,66
3386,,,,,Jolie fille de Perth [sound recording] / Bizet. ,1896628,20524766,MUSICAL SOUND RECORDING,"Bizet, Georges, 1838-1875. ",Y,Y,,,,,,bsr,y,102
3387,,,,,Jolly miller [sound recording] : overture ; Violin concerto ; Symphony no. 18 / Havergal Brian. ,1975045,476791386,MUSICAL SOUND RECORDING,"Brian, Havergal, 1876-1972. ",Y,N,,,,,,bsr,y,2
3388,,,,,Jon Vickers in concert [sound recording]. ,2603303,41150035,MUSICAL SOUND RECORDING,"Vickers, Jon. ",Y,Y,,,,,,bsr,n,24
3389,,,,,Jongleur de Notre Dame [sound recording] : miracle en trois actes / Massenet. Thais (extraits). ,2235094,28304594,MUSICAL SOUND RECORDING,"Massenet, Jules, 1842-1912. ",Y,Y,,,,,,bsr,n,19
3390,,,,,Jongleur de Notre-Dame ; La navarraise [sound recording] / Massenet. ,2051290,22705775,MUSICAL SOUND RECORDING,"Massenet, Jules, 1842-1912. ",Y,Y,,,,,,bsr,n,23
3391,,,,,Jonny spielt auf [sound recording] / Krenek. ,1260421,28258331,MUSICAL SOUND RECORDING,"Krenek, Ernst, 1900-1991. ",Y,N,,,,,,bsr,y,255
3392,,,,,Josef Greindl singt [sound recording] : Arien und Szenen aus ... ,5595208,47251487,MUSICAL SOUND RECORDING,"Greindl, Josef. ",Y,Y,,,,,,bsr,n,1
3393,,,,,Josef Herrmann [sound recording] : (1903-1955). ,2362588,42369695,MUSICAL SOUND RECORDING,"Herrmann, Josef, 1903-1955. ",Y,Y,,,,,,bsr,n,5
3394,,,,,Josef Metternich singt [sound recording]. ,2524472,42306908,MUSICAL SOUND RECORDING,"Metternich, Josef. ",Y,Y,,,,,,bsr,n,8
3395,,,,,Josef von Manowarda [sound recording] ,2270637,41218091,MUSICAL SOUND RECORDING,"Manowarda, Josef von, 1890-1942. ",Y,Y,,,,,,bsr,n,4
3396,,,,,Joseph Fidelman recital [sound recording]. ,7200612,71358886,MUSICAL SOUND RECORDING,,Y,Y,,,,,,bsr,n,4
3397,,,,,Joseph Hislop [sound recording] ,2385436,29707196,MUSICAL SOUND RECORDING,"Hislop, Joseph, 1884-1977. ",Y,Y,,,,,,bsr,n,8
3398,,,,,Joseph Schmidt [sound recording] : SaÌmtliche EMI-Aufnahmen vol.1 = The complete EMI recordings = InteÌgrale des enregistrements EMI. ,2269169,29334257,MUSICAL SOUND RECORDING,"Schmidt, Joseph, 1904-1942. ",Y,Y,,,,,,bsr,y,21
3399,,,,,Joseph Schmidt [sound recording] : SaÌmtliche EMI-Aufnahmen. vol. 2 = The complete EMI recordings = InteÌgrale des enregistrements EMI. ,2129785,37452999,MUSICAL SOUND RECORDING,"Schmidt, Joseph, 1904-1942. ",Y,Y,,,,,,bsr,n,27
3400,,,,,"Joseph Schmidt, 1904-1942 [sound recording] : unveroÌffentlichte Aufnahmen, 1930-1937 = previously unpublished recordings = enregistrements ineÌdits. ",2129786,38420741,MUSICAL SOUND RECORDING,"Schmidt, Joseph, 1904-1942. ",Y,Y,,,,,,bsr,n,15
3401,,,,,Joseph Schwarz [sound recording] ,2631925,39976260,MUSICAL SOUND RECORDING,"Schwarz, Joseph, 1880-1926. ",Y,Y,,,,,,bsr,n,11
3402,,,,,Joseph Szigeti and Artur Schnabel [sound recording] : the legendary Frick Collection recital. ,2127386,29789831,MUSICAL SOUND RECORDING,"Szigeti, Joseph, 1892-1973. ",Y,Y,,,,,,bsr,n,25
3403,,,,,"Josephs Legende [sound recording] : op. 63 / Richard Strauss ; plot, Harry Graf Kessler, Hugo von Hofmannsthal. ",2135692,19477066,MUSICAL SOUND RECORDING,"Strauss, Richard, 1864-1949. ",Y,Y,,,,,,bsr,n,88
3404,,,,,JoseÌ Carreras sings Catalan songs [sound recording]. ,2354879,25183323,MUSICAL SOUND RECORDING,"Carreras, JoseÌ. ",Y,Y,,,,,,bsr,n,64
3405,,,,,JoseÌ Mardones [sound recording]. ,2526547,42242250,MUSICAL SOUND RECORDING,"Mardones, JoseÌ, 1868-1932. ",Y,Y,,,,,,bsr,n,7
3406,,,,,Joshua [sound recording] / G.F. Handel. ,959113,24802143,MUSICAL SOUND RECORDING,"Handel, George Frideric, 1685-1759. ",Y,N,,,,,,bsr,y,67
3407,,,,,Josquin des Pres/John Dunstable [sound recording] ,2059904,10039576,MUSICAL SOUND RECORDING,,Y,N,rcp3165,,,,,bsr,y,121
3408,,,,,Joy of Christmas [sound recording] / Joan Sutherland. ,1906138,17108897,MUSICAL SOUND RECORDING,"Sutherland, Joan. ",Y,Y,,,,,,bsr,n,33
3409,,,,,Joy of Joplin [sound recording] / Marcus Roberts. ,3247726,40354661,MUSICAL SOUND RECORDING,"Joplin, Scott, 1868-1917. ",Y,Y,,,,,,bsr,n,408
3410,,,,,Joyeuse marche [sound recording] ; Danse slave ; Suite pastorale ; Overture to Gwendoline ; BourreÌe fantasque ; EspanÌa / Emmanuel Chabrier. ,7234609,305118164,MUSICAL SOUND RECORDING,"Chabrier, Emmanuel, 1841-1894. ",Y,Y,,,,,,bsr,n,3
3411,,,,,Joyeux NoeÌl [sound recording] ; 12 carols. ,1556137,503314919,MUSICAL SOUND RECORDING,"Daquin, Louis Claude, 1694-1772. ",Y,Y,,,,,,bsr,n,3
3412,,,,,Jubilee edition [sound recording] / Gustav Leonhardt. ,7191465,244104721,MUSICAL SOUND RECORDING,"Leonhardt, Gustav, 1928-2012. ",N,Y,,,,,,bsr,n,10
3413,,,,,Judas Maccabaeus [phonodisc]. ,520040,506167399,MUSICAL SOUND RECORDING,"Handel, George Frideric, 1685-1759. ",Y,Y,,,,,,bsr,y,
3414,,,,,Judas Maccabaeus [sound recording] / George Frideric Handel. ,1736216,30452457,MUSICAL SOUND RECORDING,"Handel, George Frideric, 1685-1759. ",N,Y,,,,,,bsr,y,145
3415,,,,,Judith [sound recording] / Alexandre SeÌrov. ,2050952,27115372,MUSICAL SOUND RECORDING,"Serov, A. N. (Aleksandr Nikolaevich), 1820-1871. ",Y,Y,,,,,,bsr,y,27
