,streaming,clio,wc_holdings,discard,title,bib_id,oclc_num,format,author,holdings_sup,bib_sup,tag_965,lp,historic_circs,comments,reserve_past_few,location,clio_y_n,num_libs
0,n,n,132.0,n,Bright Red [sound recording] / Laurie Anderson. ,9062442,227189789,MUSICAL SOUND RECORDING,"Anderson, Laurie. ",Y,Y,,,,,,bar,n,
1,,,,,"Chain : farm, factory, and the fate of our food / Ted Genoways. ",11043454,894893030,NONMUSICAL SOUND RECORDING,"Genoways, Ted, ",Y,Y,,,,,,bar,n,32
2,n,n,39.0,m,Egmont [sound recording] / Beethoven. ,398584,80373612,MUSICAL SOUND RECORDING,"Beethoven, Ludwig van, 1770-1827. ",Y,Y,,y,,Is this an LP??? We don't even have the capacity to play this,,bar,n,8
3,y,y,733.0,y,"Evolution [sound recording] / the United States Air Force Band, Washington, D.C. ",4108195,44124520,MUSICAL SOUND RECORDING,United States Air Force Band. ,Y,N,,,,,,bar,y,708
4,n,n,1.0,n,Guido Cantelli [sound recording]. ,9162461,427008859,MUSICAL SOUND RECORDING,,Y,Y,,,,,,bar,y,1
5,m,y,15.0,m,LakmeÌ [sound recording] / Delibes. ,520200,42536399,MUSICAL SOUND RECORDING,"Delibes, LeÌo, 1836-1891. ",Y,N,,y,,"Possibly LP. Naxos highlights, 0077776344751",,bar,y,14
6,,,,,New Southerners [Sound recordings]. ,2093419,33952932,NONMUSICAL SOUND RECORDING,,Y,Y,,,,,,bar,n,24
7,,,,,New Southerners [Sound recordings]. ,2093419,33952932,NONMUSICAL SOUND RECORDING,,Y,Y,,,,,,bar,n,24
8,n,y,40.0,m,"Quartet in F major / Maurice Ravel. Quartet in g minor, op. 10 / Claude Debussy [sound recording] ",1647583,23958769,MUSICAL SOUND RECORDING,"Ravel, Maurice, 1875-1937. ",Y,N,RECONanx2,y,,Possibly LP. ,,bar,y,40
9,n,n,276.0,m,Solitude standing [sound recording] / Suzanne Vega. ,9023076,15872933,MUSICAL SOUND RECORDING,"Vega, Suzanne. ",Y,Y,,,,,,bar,n,265
10,n,y,123.0,y,Suite symphonique. Symphony for trombone and orchestra [sound recording] ,129372,3045367,MUSICAL SOUND RECORDING,"Bloch, Ernest, 1880-1959. ",Y,N,,y,,Possibly LP. ,,bar,y,124
11,n,y,55.0,y,Twin sons of different mothers [sound recording]. ,1897679,4258298,MUSICAL SOUND RECORDING,"Fogelberg, Dan. ",Y,N,,y,,,,bar,y,55
12,n,n,1.0,n,Ugly one with the jewels and other stories [sound recording] / Laurie Anderson. ,9062418,33185343,MUSICAL SOUND RECORDING,"Anderson, Laurie, 1947- ",Y,Y,,,,Cassette tape,,bar,n,1
13,n,y,76.0,m,United States live [sound recording] / Laurie Anderson. ,3366170,11609649,MUSICAL SOUND RECORDING,"Anderson, Laurie, 1947- ",Y,N,,y,,,,bar,y,74
14,n,n,52.0,,Winter tale [sound recording] / Bobby Long. ,8647876,694397411,MUSICAL SOUND RECORDING,"Long, Bobby. ",Y,Y,,,0.0,,,bar,n,50
15,,,,,"Champs-ElyseÌes [sound recording] / Dominique Laurent, editor ; Georges Lang, host and writer. ",3292299,46679910,NONMUSICAL SOUND RECORDING,,Y,Y,,,,,,"bar,medi",y,13
16,,,,,"Mundo 21 [sound recording] : para hispanohablantes / Fabian A. Samaniego, Francisco X. Alarcon, Nelson Rojas. ",3298110,40097388,NONMUSICAL SOUND RECORDING,,Y,Y,,,,,,"bar,medi",n,1
17,,,,,Poet's voice [sound recording] / [selected and edited by Stratis Haviaras]. ,2093405,25368531,NONMUSICAL SOUND RECORDING,,Y,Y,,,,,,"bar,medi",n,26
18,,,,,Russian phonetics drills [sound recording] / Robert L. Baker. ,4778285,84057752,NONMUSICAL SOUND RECORDING,,N,Y,,,,,,"bar,medi",n,
19,y,n,263.0,,"""Carmen-fantasie"" [sound recording] / Anne-Sophie Mutter, Wiener Philharmoniker, James Levine. ",2051625,29339433,MUSICAL SOUND RECORDING,"Mutter, Anne-Sophie, 1963- ",Y,Y,,,1.0,,,bsr,n,262
20,n,n,23.0,,"""Fatha"" [sound recording] / the Earl Hines Trio. ",2843205,6719795,MUSICAL SOUND RECORDING,Earl Hines Trio. ,Y,Y,,y,,,,bsr,n,23
21,y,y,117.0,,"""Jeremiah"" symphony [sound recording] / Bernstein. Third symphony : (in one movement) / Harris. ",2058953,21939539,MUSICAL SOUND RECORDING,"Bernstein, Leonard, 1918-1990. ",Y,N,rcp3288,y,,,,bsr,y,115
22,m,y,9.0,,"""Live at the MeÌridien"" [sound recording] : ""chez moustache"" / Claude Bolling Big Band. ",2115933,12393356,MUSICAL SOUND RECORDING,"Bolling, Claude. ",Y,Y,,,,Cassette,,bsr,y,9
23,m,,9.0,,"""London"" symphonies [sound recording] Nos. 99-104 / Joseph Haydn. ",2348391,504777324,MUSICAL SOUND RECORDING,"Haydn, Joseph, 1732-1809. ",Y,Y,,,,,,bsr,n,9
24,,,9.0,,"""London"" symphonies nos. 93-98 [sound recording] : ""Surprise"", ""Miracle"" / Haydn. ",2235075,33131189,MUSICAL SOUND RECORDING,"Haydn, Joseph, 1732-1809. ",Y,Y,,,,,,bsr,n,38
25,,,68.0,,"""Schlagobers"" [sound recording] : ballet, op. 70 / Richard Strauss. ",1861229,22147046,MUSICAL SOUND RECORDING,"Strauss, Richard, 1864-1949. ",Y,Y,,,,,,bsr,n,67
26,,,50.0,,"""Serenata"" [sound recording] ",2164750,13178343,MUSICAL SOUND RECORDING,"Ameling, Elly. ",Y,Y,,,,,,bsr,n,50
27,,,,,"""Singet dem Herrn ein neues Lied"", motet, BWV 225."" Der Geist hilft unsrer Schwachheif auf"", motet, BWV 226. ""FuÌrchte dich nicht"", BWV 228 [sound recording]. ",3297282,10627474,MUSICAL SOUND RECORDING,"Bach, Johann Sebastian, 1685-1750. ",Y,Y,,,,,,bsr,n,51
28,,,,,'Kaiserwald-Musik' [sound recording] ,2120520,39054135,MUSICAL SOUND RECORDING,EgerlaÌnder (Musical group) ,Y,Y,,,,,,bsr,n,
29,,,,,'Sir Thopas' [sound recording] : two readings. ,1061490,20308601,NONMUSICAL SOUND RECORDING,"Chaucer, Geoffrey, d. 1400. ",Y,Y,,,,,,bsr,n,35
30,,,,,...sur des vers antiques [sound recording] : meÌlodies de Charles Gounod aÌ Jean FrancÌ§aix. ,6360047,186964950,MUSICAL SOUND RECORDING,,Y,Y,,,,,,bsr,n,
31,,,,,"10 Mazurkas [sound recording] : PreÌlude, op. 45. Ballade, op. 23. Scherzo, op. 31. ",3009761,26881859,MUSICAL SOUND RECORDING,"Chopin, FreÌdeÌric, 1810-1849. ",Y,Y,,,,,,bsr,n,34
32,,,,,10 symphonies [sound recording] = Die 10 Symphonien = Les 10 symphonies ; Fragments D. 615 & D. 708a / Schubert. ,1701482,28511693,MUSICAL SOUND RECORDING,"Schubert, Franz, 1797-1828. ",N,Y,,,,,,bsr,y,20
33,,,,,100 years of Italian opera [sound recording] : 1810-1820. ,2089849,25696373,MUSICAL SOUND RECORDING,"Philharmonia Orchestra (London, England) ",Y,Y,,,,,,bsr,n,65
34,,,,,11 fantasy-waltzes ; 12 preludes [sound recording] / William Alwyn. ,1960978,14716643,MUSICAL SOUND RECORDING,"Alwyn, William, 1905-1985. ",Y,Y,,,,,,bsr,n,88
35,,,,,12 London symphonies. ,2059905,2889258,MUSICAL SOUND RECORDING,"Haydn, Joseph, 1732-1809. ",Y,N,rcp3165,,,,,bsr,y,137
36,,,,,12 [i.e. Douze] eÌtudes d'exeÌcution transcendante. 3 eÌtudes de concert [sound recording]. ,287671,3780337,MUSICAL SOUND RECORDING,"Liszt, Franz, 1811-1886. ",Y,N,,,,,,bsr,y,104
37,,,,,12 [i.e. ZwoÌlf] EtuÌden fuÌr Gitarre. 5 PraÌludien fuÌr Gitarre [sound recording]. ,520140,3464423,MUSICAL SOUND RECORDING,"Villa-Lobos, Heitor. ",Y,Y,,,,,,bsr,n,113
38,,,,,"12 concerti a cinque, op. 9 [sound recording]. ",621352,3949213,MUSICAL SOUND RECORDING,"Albinoni, Tomaso, 1671-1750. ",Y,Y,,,,,,bsr,n,49
39,,,,,12 concerti grossi [sound recording] / Domenico Scarlatti/Charles Avison. ,1962943,503197021,MUSICAL SOUND RECORDING,"Avison, Charles, 1709-1770. ",Y,Y,,,,,,bsr,n,1
40,,,,,"12 concerti grossi, op. 6 [sound recording] ",3016287,5058360,MUSICAL SOUND RECORDING,"Handel, George Frideric, 1685-1759. ",Y,Y,,,,,,bsr,y,3
41,,,,,"12 concerti grossi, op. 6 [sound recording]. ",3297288,7000472,MUSICAL SOUND RECORDING,"Handel, George Frideric, 1685-1759. ",Y,Y,,,,,,bsr,y,61
42,,,,,"12 concerti grossi, op. 6. [sound recording] / George Frideric Handel. ",2232508,25493974,MUSICAL SOUND RECORDING,"Handel, George Frideric, 1685-1759. ",Y,Y,,,,,,bsr,y,18
43,,,,,"12 concertos, op. 8 [sound recording] / Antonio Vivaldi. ",8271709,183355519,MUSICAL SOUND RECORDING,"Vivaldi, Antonio, 1678-1741. ",Y,Y,,,,,,bsr,n,5
44,,,,,14 valses [sound recording] ; Barcarolle ; Nocturne op. 27 no. 2 ; Mazurka op. 50 no. 3 / Chopin. ,6241045,43082105,MUSICAL SOUND RECORDING,"Chopin, FreÌdeÌric, 1810-1849. ",Y,Y,,,,,,bsr,n,136
45,,,,,15 Lieder [sound recording] / Schubert. ,2348339,23721108,MUSICAL SOUND RECORDING,"Schubert, Franz, 1797-1828. ",Y,Y,,,,,,bsr,n,15
46,,,,,"15 fantasies for 3, 4, 5, 6, 7 viole da gamba [sound recording]. ",1646043,4845924,MUSICAL SOUND RECORDING,"Purcell, Henry, 1659-1695. ",Y,N,,,,,,bsr,y,167
47,,,,,15 symphonies [sound recording] / Chostakovitch. ,1975804,24483107,MUSICAL SOUND RECORDING,"Shostakovich, DmitriiÌ Dmitrievich, 1906-1975. ",Y,Y,,,,,,bsr,n,12
48,,,,,150 Jahre [sound recording] = 150th anniversary = 150eÌme anniversaire. ,2133562,33024780,MUSICAL SOUND RECORDING,Wiener Philharmoniker. ,Y,Y,,,,,,bsr,n,
49,,,,,16 violin sonatas [sound recording] : Rosenkranz-Sonaten uÌber die 15 Mysterien aus dem Marienleben / Biber. ,2819400,28428970,MUSICAL SOUND RECORDING,"Biber, Heinrich Ignaz Franz, 1644-1704. ",Y,Y,,,,,,bsr,n,16
50,,,,,18 divas francÌ§aises [sound recording] ,2331259,25735482,MUSICAL SOUND RECORDING,,Y,Y,,,,,,bsr,n,13
51,,,,,18 lieder [sound recording] / Liszt. ,1725032,27281717,MUSICAL SOUND RECORDING,"Liszt, Franz, 1811-1886. ",Y,Y,,,,,,bsr,n,61
52,,,,,1815 Schubertiad. II [sound recording] ,1969232,152076956,MUSICAL SOUND RECORDING,"Schubert, Franz, 1797-1828. ",Y,N,,,,,,bsr,y,
53,,,,,19 Hungarian rhapsodies [sound recording] / Franz Liszt. ,2348395,32687326,MUSICAL SOUND RECORDING,"Liszt, Franz, 1811-1886. ",Y,Y,,,,,,bsr,n,59
54,,,,,"19 liriche polacche [sound recording] : op. 74, per canto e pianoforte / Fryderyk Chopin. ",1787725,32335332,MUSICAL SOUND RECORDING,"Chopin, FreÌdeÌric, 1810-1849. ",Y,Y,,,,,,bsr,n,3
55,,,,,1933-1936 [sound recording] ,2188789,33239796,MUSICAL SOUND RECORDING,Wiener Staatsoper. ,Y,Y,,,,,,bsr,n,22
56,,,,,1940's radio hour Volume 3 [sound recording] ,2336974,41645552,MUSICAL SOUND RECORDING,,Y,Y,,,,,,bsr,n,15
57,,,,,1940's radio hour volume 1 [sound recording] ,2167224,40078189,MUSICAL SOUND RECORDING,,Y,Y,,,,,,bsr,n,1
58,,,,,"1940's radio hour, volume 2 [sound recording] ",2319660,504560804,MUSICAL SOUND RECORDING,,Y,Y,,,,,,bsr,n,1
59,,,,,1941 recital [sound recording] / Lotte Lehmann. ,2179365,31054223,MUSICAL SOUND RECORDING,"Lehmann, Lotte. ",Y,Y,,,,,,bsr,n,17
60,,,,,1947/1951 [sound recording]. ,8159231,123415813,MUSICAL SOUND RECORDING,"Ferrier, Kathleen, 1912-1953. ",Y,Y,,,,,,bsr,n,3
61,,,,,1949 concerts [sound recording] / Ginette Neveu. ,2319654,35967638,MUSICAL SOUND RECORDING,"Neveu, Ginette, 1919-1949. ",Y,Y,,,,,,bsr,n,18
62,,,,,1985 sessions [sound recording] / Earl Wild. ,7522949,48926483,MUSICAL SOUND RECORDING,"Liszt, Franz, 1811-1886. ",Y,Y,,,,,,bsr,n,32
63,,,,,19th century heroines [sound recording] ,1708803,32212944,MUSICAL SOUND RECORDING,"Kenny, Yvonne. ",Y,Y,,,,,,bsr,n,65
64,,,,,"2 Kantaten/3 Motetten [sound recording] / Johann Sebastian Bach, [Melchior Hoffmann]. ",2970657,9818809,MUSICAL SOUND RECORDING,,Y,Y,,,,,,bsr,n,47
65,,,,,"2 sonatas [sound recording] : Op. 101 ; Op. 106 ""Hammerklavier"" / Ludwig van Beethoven ; [performed by] Abdel Rahman El Bacha, piano/Klavier (Steinway). ",8516269,707611758,MUSICAL SOUND RECORDING,"Beethoven, Ludwig van, 1770-1827. ",Y,Y,,,,,,bsr,n,2
66,,,,,20 lieder [sound recording] ,2362613,23659739,MUSICAL SOUND RECORDING,"Strauss, Richard, 1864-1949. ",Y,Y,,,,,,bsr,n,19
67,,,,,20th century sonatas for flute and piano [sound recording]. ,287573,3226296,MUSICAL SOUND RECORDING,,Y,Y,,,,,,bsr,n,71
68,,,,,21 Lieder [sound recording] / Schubert. ,834349,19096441,MUSICAL SOUND RECORDING,"Schubert, Franz, 1797-1828. ",Y,N,,,,,,bsr,y,248
69,,,,,21 Lieder celebres [sound recording] = Famous lieder = Beruhmte lieder / Margaret Price ; Graham Johnson (piano/klavier). ,2327250,34194763,MUSICAL SOUND RECORDING,"Schubert, Franz, 1797-1828. ",Y,Y,,,,,,bsr,n,51
70,,,,,22 Lieder : Der Hirt auf dem Felsen [sound recording] / Schubert. ,2351726,24819517,MUSICAL SOUND RECORDING,"Schubert, Franz, 1797-1828. ",Y,Y,,,,,,bsr,n,38
71,,,,,22 Lieder [sound recording] / Richard Strauss. ,2247680,26604787,MUSICAL SOUND RECORDING,"Strauss, Richard, 1864-1949. ",Y,Y,,,,,,bsr,n,44
72,,,,,22 Lieder [sound recording] / Wolf. ,7154852,48238725,MUSICAL SOUND RECORDING,"Wolf, Hugo, 1860-1903. ",Y,Y,,,,,,bsr,y,63
73,,,,,24 caprices [sound recording] / Paganini. ,1723422,26759721,MUSICAL SOUND RECORDING,"Paganini, NicoloÌ, 1782-1840. ",Y,Y,,,,,,bsr,n,154
74,,,,,"24 caprices, op. 1 [phonodisc]. ",520119,3091567,MUSICAL SOUND RECORDING,"Paganini, NicoloÌ, 1782-1840. ",Y,Y,,,,,,bsr,n,124
75,,,,,"24 caprices, op. 1 [phonodisc]. ",520119,3091567,MUSICAL SOUND RECORDING,"Paganini, NicoloÌ, 1782-1840. ",Y,Y,,,,,,bsr,n,124
76,,,,,"24 caprices, op. 1 [sound recording] / Paganini. ",2060549,11390858,MUSICAL SOUND RECORDING,"Paganini, NicoloÌ, 1782-1840. ",Y,N,rcp3165,,,,,bsr,y,90
77,,,,,"24 caprices, op. 1 for solo violin [sound recording] / Paganini. ",837837,14403823,MUSICAL SOUND RECORDING,"Paganini, NicoloÌ, 1782-1840. ",Y,N,,,,,,bsr,y,223
78,,,,,24 preludes & fugues [sound recording] ; 25 preludes (Polypohonic notebook) / Rodion Shchedrin. ,1998630,32434594,MUSICAL SOUND RECORDING,"Shchedrin, Rodion Konstantinovich, 1932- ",Y,Y,,,,,,bsr,n,36
79,,,,,24 preludes ; Sonata no. 2 [sound recording] / Rachmaninov. ,1695355,80583257,MUSICAL SOUND RECORDING,"Rachmaninoff, Sergei, 1873-1943. ",Y,Y,,,,,,bsr,n,4
80,,,,,24 preludes [sound recording] ; Berceuse / Chopin. ,2190389,25977163,MUSICAL SOUND RECORDING,"Chopin, FreÌdeÌric, 1810-1849. ",Y,Y,,,,,,bsr,n,33
81,,,,,"24 preludes, op. 34 [sound recording] / Shostakovich. 25 preludes, op. 31 / Alkan. ",1971479,25659529,MUSICAL SOUND RECORDING,"Shostakovich, DmitriiÌ Dmitrievich, 1906-1975. ",Y,Y,,,,,,bsr,n,102
82,,,,,26 Lieder [sound recording] : (1928-1941) ,2260161,39031193,MUSICAL SOUND RECORDING,"Lehmann, Lotte. ",Y,Y,,,,,,bsr,n,20
83,,,,,3 Klavierkonzerte [sound recording] ; Rhapsodie ; Konzert fuÌr Orchester / BartoÌk. ,1885503,36265671,MUSICAL SOUND RECORDING,"BartoÌk, BeÌla, 1881-1945. ",Y,Y,,,,,,bsr,n,7
84,,,,,3 Liederabende [sound recording] = 3 song recitals. ,2382219,32114751,MUSICAL SOUND RECORDING,"Berger, Erna, 1900-1990. ",Y,Y,,,,,,bsr,n,3
85,,,,,3 Liederabende [sound recording] = 3 song recitals. ,2382217,32138932,MUSICAL SOUND RECORDING,"Berger, Erna, 1900-1990. ",Y,Y,,,,,,bsr,n,2
86,,,,,3 Liederabende [sound recording] = 3 song recitals. ,2382218,32114787,MUSICAL SOUND RECORDING,"Berger, Erna, 1900-1990. ",Y,Y,,,,,,bsr,n,2
87,,,,,"3 OpeÌrettes [sound recording] : VeÌronique, Monsieur Beaucaire, Les p'tites Michu / Messager. ",2362585,38093303,MUSICAL SOUND RECORDING,"Messager, AndreÌ, 1853-1929. ",Y,Y,,,,,,bsr,n,8
88,,,,,3 Symphonies ; Swedish dances [sound recording] / Max Bruch. ,1975042,775023903,MUSICAL SOUND RECORDING,"Bruch, Max, 1838-1920. ",Y,Y,,,,,,bsr,n,4
89,,,,,3 concerti [sound recording] : Suite concertante. ,2967627,12441864,MUSICAL SOUND RECORDING,"Telemann, Georg Philipp, 1681-1767. ",Y,Y,,,,,,bsr,n,4
90,,,,,3 dernieres sonates. Volume 9 [sound recording] = The 3 last sonatas = Die letzten 3 Sonaten / Ludwig van Beethoven. ,9070988,731720615,MUSICAL SOUND RECORDING,"Beethoven, Ludwig van, 1770-1827. ",Y,Y,,,,,,bsr,n,2
91,,,,,"3 divertimentos, K. 136, 137, 138 (Salzburg symphonies). [sound recording] 6 country dances, K. 606. ",2060160,3495616,MUSICAL SOUND RECORDING,"Mozart, Wolfgang Amadeus, 1756-1791. ",Y,N,rcp3165,,,,,bsr,y,75
92,,,,,3 nocturnes [sound recording] / Debussy. Rapsodie espagnole / Ravel. Symphony no. 8 / Mahler. ,1787723,28120872,MUSICAL SOUND RECORDING,"Debussy, Claude, 1862-1918. ",Y,Y,,,,,,bsr,n,18
93,,,,,3 nocturnes [sound recording] / Debussy. Rapsodie espagnole / Ravel. Symphony no. 8 / Mahler. ,1787723,28120872,MUSICAL SOUND RECORDING,"Debussy, Claude, 1862-1918. ",Y,Y,,,,,,bsr,n,18
94,,,,,3 operas [sound recording] / Chabrier. ,2119557,10860795,MUSICAL SOUND RECORDING,"Chabrier, Emmanuel, 1841-1894. ",Y,Y,,,,,,bsr,n,9
95,,,,,"3 piano trios [sound recording] = Die 3 Klaviertrios ; FantasiestuÌcke, op. 88 / Robert Schumann. ",2603287,29750619,MUSICAL SOUND RECORDING,"Schumann, Robert, 1810-1856. ",Y,Y,,,,,,bsr,n,72
96,,,,,"3 sonates [sound recording] : opus 31 ""La tempeÌte"" / Ludwig van Beethoven ; [performed by] Abdel Rahman el Bacha, piano/Klavier. ",8519232,707611811,MUSICAL SOUND RECORDING,"Beethoven, Ludwig van, 1770-1827. ",Y,Y,,,,,,bsr,n,
97,,,,,3 sonates opus 2 [sound recording] ; 2 sonates opus 49 / Ludwig van Beethoven. ,9070979,731709914,MUSICAL SOUND RECORDING,"Beethoven, Ludwig van, 1770-1827. ",Y,Y,,,,,,bsr,n,2
98,,,,,30th anniversary October [sound recording] / Prokofiev. October : op. 132 [i.e. 131] / Shostakovich. The young guards / Shostakovich. Lenin is among us / Eshpai. ,1948866,23053347,MUSICAL SOUND RECORDING,"Prokofiev, Sergey, 1891-1953. ",Y,Y,,,,,,bsr,n,22
99,,,,,"4 Sonatas [sound recording] : op. 26 'Marcia funebre' ; op. 27, n. 1 'Quasi una fantasia' ; op. 27 n. 2 'Clair de lune' ; op. 28 'Pastorale' / Ludwig van Beethoven ; [performed by] Abdel Rahman El Bacha, piano/Klavier (Steinway). ",8516136,707611754,MUSICAL SOUND RECORDING,"Beethoven, Ludwig van, 1770-1827. ",Y,Y,,,,,,bsr,n,
100,,,,,"4 Sonatas [sound recording] ; op 78 ""a TheÌreÌse ; op 79 ""alla tedesca"" ; op 81a ""Les adieux"" ; op 90 ; Fantaisie op 77 / Ludwig van Beethoven ; [performed by] Abdel Rahman El Bacha, piano/Klavier (Steinway). ",8514532,707611736,MUSICAL SOUND RECORDING,"Beethoven, Ludwig van, 1770-1827. ",Y,Y,,,,,,bsr,n,
101,,,,,4 Symphonien [sound recording] / Schumann. ,7583303,22669466,MUSICAL SOUND RECORDING,"Schumann, Robert, 1810-1856. ",Y,Y,,,,,,bsr,n,142
102,,,,,"4 [i.e. Vier] Impromptus [sound recording] D. 935. 4 Impromptus, D. 899. ",3003150,5271945,MUSICAL SOUND RECORDING,"Schubert, Franz, 1797-1828. ",Y,Y,,,,,,bsr,n,33
103,,,,,4 ballades [sound recording] / Chopin. ,7212505,31953587,MUSICAL SOUND RECORDING,"Chopin, FreÌdeÌric, 1810-1849. ",N,Y,,,,,,bsr,n,318
104,,,,,4 concerti [sound recording]. ,2861937,4112370,MUSICAL SOUND RECORDING,"Vivaldi, Antonio, 1678-1741. ",Y,Y,,,,,,bsr,n,71
105,,,,,4 great symphonies [sound recording]. ,7184901,263564245,MUSICAL SOUND RECORDING,"Mozart, Wolfgang Amadeus, 1756-1791. ",Y,Y,,,,,,bsr,n,4
106,,,,,4 orchestral works. [sound recording] ,1646490,3982599,MUSICAL SOUND RECORDING,"Stamitz, Johann, 1717-1757. ",Y,N,RECONanx2,,,,,bsr,y,149
107,,,,,4 sonatas [sound recording] / Beethoven. ,9070983,731712941,MUSICAL SOUND RECORDING,"Beethoven, Ludwig van, 1770-1827. ",Y,Y,,,,,,bsr,n,2
108,,,,,4 sonatas [sound recording] / Ludwig van Beethoven. ,9070991,731719106,MUSICAL SOUND RECORDING,"Beethoven, Ludwig van, 1770-1827. ",Y,Y,,,,,,bsr,n,1
109,,,,,4 string quartets [sound recording] = Streichquartette ; String quintet = Streichquintette ; Wind quintet = BlaÌserquintett / Carl Nielsen. ,1809723,24927790,MUSICAL SOUND RECORDING,"Nielsen, Carl, 1865-1931. ",Y,Y,,,,,,bsr,n,36
110,,,,,4 symphonies [sound recording] / Clementi ; [reconstitution et reÌvision Pietro Spada]. ,1976435,30989875,MUSICAL SOUND RECORDING,"Clementi, Muzio, 1752-1832. ",Y,Y,,,,,,bsr,y,17
111,,,,,4 symphonies [sound recording] / Franz Berwald. ,519857,21460485,MUSICAL SOUND RECORDING,"Berwald, Franz, 1796-1868. ",Y,N,,,,,,bsr,y,136
112,,,,,4 symphonies [sound recording] = Die 4 Symphonien / Schumann. ,9008790,123085086,MUSICAL SOUND RECORDING,"Schumann, Robert, 1810-1856. ",Y,Y,,,,,,bsr,n,
113,,,,,42nd street [sound recording] : original Broadway cast recording / [music by Harry Warren ; lyrics by Al Dubin ; book by Michael Stewart & Mark Bramble ; presented by David Merrick ; direction & dances by Gower Champion ; produced for records by Thomas Z.,2114699,7541531,MUSICAL SOUND RECORDING,"Warren, Harry, 1893-1981. ",Y,Y,,,,,,bsr,y,43
114,,,,,44 duos for violins (1931) [sound recording] / BeÌla BartoÌk. ,7190849,18163854,MUSICAL SOUND RECORDING,"BartoÌk, BeÌla, 1881-1945. ",Y,Y,,,,,,bsr,n,41
115,,,,,5 Symphonien ; OuvertuÌren [sound recording] / Mendelssohn. ,1425152,13292977,MUSICAL SOUND RECORDING,"Mendelssohn-Bartholdy, Felix, 1809-1847. ",Y,N,,,,,,bsr,y,244
116,,,,,5 piano concertos [sound recording] / Villa-Lobos. ,1903144,27148403,MUSICAL SOUND RECORDING,"Villa-Lobos, Heitor. ",Y,Y,,,,,,bsr,n,114
117,,,,,5 sacred cantatas [sound recording]. ,1644166,2742161,MUSICAL SOUND RECORDING,"Buxtehude, Dietrich, 1637-1707. ",Y,N,,,,,,bsr,y,152
118,,,,,5 symphonies [sound recording] = The 5 symphonies = Die 5 Symphonien / Saint-Saens. ,1734338,77798187,MUSICAL SOUND RECORDING,"Saint-SaeÌns, Camille, 1835-1921. ",Y,Y,,,,,,bsr,n,
119,,,,,5 violinkonzerte [sound recording] = Violin concertos = Concertos pour violin ; Adagio KV 261 ; Rondos KV 261a & KV 373 / Mozart. ,1725039,15674883,MUSICAL SOUND RECORDING,"Mozart, Wolfgang Amadeus, 1756-1791. ",Y,Y,,,,,,bsr,n,62
120,,,,,50 years of Mozart singing on record [sound recording]. ,1971477,28244299,MUSICAL SOUND RECORDING,"Mozart, Wolfgang Amadeus, 1756-1791. ",Y,Y,,,,,,bsr,n,41
121,,,,,50 years of great operatic singing [sound recording] ,1531853,6905605,MUSICAL SOUND RECORDING,,Y,Y,,,,,,bsr,n,48
122,,,,,51 mazurkas [sound recording] ; Sonates 2 & 3 / Chopin. ,7166398,56726924,MUSICAL SOUND RECORDING,"Chopin, FreÌdeÌric, 1810-1849. ",Y,Y,,,,,,bsr,n,8
123,,,,,"6 ""Haydn"" string quartets [sound recording] / Mozart. ",7153984,26628332,MUSICAL SOUND RECORDING,"Mozart, Wolfgang Amadeus, 1756-1791. ",Y,Y,,,,,,bsr,n,35
124,,,,,"6 ""Paris"" symphonies [sound recording] / Haydn. ",8537179,28462926,MUSICAL SOUND RECORDING,"Haydn, Joseph, 1732-1809. ",Y,Y,,,,,,bsr,y,154
125,,,,,"6 Monologues from ""Jedermann"" [sound recording] ; excerpts from ""Der Sturm"" / Frank Martin. La tentation de Saint Antoine / Werner Egk. ",2055291,24416716,MUSICAL SOUND RECORDING,"Martin, Frank, 1890-1974. ",Y,Y,,,,,,bsr,n,46
126,,,,,6 Preussische Sonaten ; Concerto per il Cembalo solo C-dur [sound recording] / Carl Philipp Emanuel Bach. ,520210,7452945,MUSICAL SOUND RECORDING,"Bach, Carl Philipp Emanuel, 1714-1788. ",Y,Y,,,,,,bsr,n,50
127,,,,,6 Streichquartette [sound recording] = The 6 string quartets = Les 6 quatuors aÌ cordes / BeÌla BartoÌk. ,705424,29270003,MUSICAL SOUND RECORDING,"BartoÌk, BeÌla, 1881-1945. ",Y,Y,,,,,,bsr,y,9
128,,,,,6 Streichquartette [sound recording] = The 6 string quartets = Les 6 quatuors aÌ cordes / BeÌla BartoÌk. ,705424,29270003,MUSICAL SOUND RECORDING,"BartoÌk, BeÌla, 1881-1945. ",Y,Y,,,,,,bsr,y,9
129,,,,,6 Streichquartette op. 76 [sound recording] = The 6 string quartets op. 76 = Les 6 quatuors aÌ cordes op. 76 / Joseph Haydn. ,398293,9202574,MUSICAL SOUND RECORDING,"Haydn, Joseph, 1732-1809. ",Y,N,,,,,,bsr,y,27
130,,,,,"6 WuÌrttembergische Sonaten, op. 2 [sound recording] / Carl Philipp Emanuel Bach. ",3008603,5905910,MUSICAL SOUND RECORDING,"Bach, Carl Philipp Emanuel, 1714-1788. ",Y,Y,,,,,,bsr,n,73
131,,,,,6 [i. e. Sechs] Partitas [sound recording] ; erster Theil der Clavier-Uebung. ,3297287,3928185,MUSICAL SOUND RECORDING,"Bach, Johann Sebastian, 1685-1750. ",Y,N,,,,,,bsr,y,59
